DOY;T2M;T2M_MIN;T2M_MAX;RH2M;WS2M
280;26.4;20.22;35.73;38.88;1.07
281;25.08;20.1;33.79;42.69;1.31
282;20.29;15.46;26.5;58.44;2.28
283;17.33;13.65;22.98;79.0;3.0
284;16.25;12.91;21.53;80.25;2.19
285;15.27;11.13;20.84;81.0;2.11
286;16.54;13.15;20.03;91.62;1.5
287;18.18;14.8;23.71;81.69;1.61
288;16.53;13.13;21.75;83.56;2.17
289;17.1;12.38;23.46;82.12;2.19
290;16.91;13.65;22.43;79.56;2.88
291;16.41;12.05;21.75;61.56;3.57
292;16.9;12.15;23.15;41.06;2.98
293;18.62;12.99;24.99;35.81;1.43
294;16.8;11.65;23.53;62.81;1.34
295;15.23;11.42;20.29;83.94;2.02
296;14.21;10.94;20.05;80.19;2.21
297;16.05;10.14;23.69;66.38;2.12
298;16.17;9.73;23.23;54.25;1.68
299;15.83;12.31;22.9;64.69;0.98
300;15.94;11.85;22.51;82.62;1.28
301;15.04;12.13;18.72;89.0;2.15
302;13.33;10.65;16.79;83.31;3.02
303;12.91;8.51;19.26;77.06;2.27
304;12.77;10.01;16.55;82.75;2.26
305;12.78;8.95;17.21;84.81;1.94
306;13.18;9.67;16.69;88.31;2.33
307;13.11;10.11;17.33;83.75;2.39
308;13.93;9.62;19.57;68.75;2.93
309;14.73;10.06;21.77;65.38;2.14
310;14.57;10.15;20.02;63.62;2.42
311;13.74;9.86;18.75;48.56;3.09
312;13.26;8.05;20.56;57.81;1.59
313;13.19;9.74;19.5;72.12;0.95
314;13.08;9.57;17.51;81.56;0.72
315;13.44;9.65;18.8;80.56;1.25
316;12.99;9.9;15.96;87.69;2.81
317;11.72;8.4;16.98;84.56;1.37
318;11.38;8.07;14.82;93.88;2.38
319;11.71;9.28;15.14;88.31;2.09
320;10.4;7.88;14.94;75.31;2.76
321;10.03;5.87;15.37;70.88;2.04
322;11.0;8.28;14.01;86.81;1.52
323;12.1;10.92;13.32;42;4.12
324;12.06;10.9;13.32;42;4.12
